C124403,17,A'',1466
C124403,18,A'',1466
C124403,19,A'',1404
C124403,20,A'',&nbsp;
C124403,21,A'',1079
C124403,22,A'',1024
C124403,23,A'',&nbsp;
C124403,24,A'',257
C13444901,1,A1,1267
C13444901,2,A1,793
C13444901,3,A1,364
C13444901,4,B1,652
C13444901,5,B2,1684
C13444901,6,B2,408
C13465071,1,A,2556
C13465071,2,A,882
C13465071,3,A,515
C13465071,4,A,417
C13465071,5,B,2559
C13465071,6,B,878
C13478201,1,A1,1417
C13478201,2,A1,873
C13478201,3,A1,472
C13478201,4,E,991
C13478201,5,E,482
C13478201,6,E,336
C13863417,1,&Sigma;,441
C151564,1,A',3338
C151564,2,A',3079
C151564,3,A',3015
C151564,4,A',1482
C151564,5,A',1237
C151564,6,A',1211
C151564,7,A',1090
C151564,8,A',998
C151564,9,A',856
C151564,10,A',773
C151564,11,A'',3079
C151564,12,A'',3015
C151564,13,A'',1463
C151564,14,A'',1268
C151564,15,A'',1131
C151564,16,A'',1095
C151564,17,A'',904
C151564,18,A'',817
C156592,1,A1,3077
C156592,2,A1,1587
C156592,3,A1,1179
C156592,4,A1,711
C156592,5,A1,173
C156592,6,A2,876
C156592,7,A2,406
C156592,8,B1,697
C156592,9,B2,3072
C156592,10,B2,1303
C156592,11,B2,857
C156592,12,B2,571
C157335,1,A1,3131
C157335,2,A1,3044
C157335,3,A1,2935
C157335,4,A1,1501
C157335,5,A1,1266
C157335,6,A1,1081
C157335,7,A1,839
C157335,8,A1,657
C157335,9,A1,423
C157335,10,A2,1172
C157335,11,A2,1063
C157335,12,A2,909
C157335,13,A2,838
C157335,14,B1,3120
C157335,15,B1,1110
C157335,16,B1,1092
C157335,17,B1,980
C157335,18,B1,737
C157335,19,B2,3044
C157335,20,B2,2969
C157335,21,B2,1485
C157335,22,B2,1261
C157335,23,B2,1081
C157335,24,B2,935
C1708323,1,A1,3065
C1708323,2,A1,2936
C1708323,3,A1,1647
C1708323,4,A1,1451
C1708323,5,A1,1273
C1708323,6,A1,1119
C1708323,7,A1,953
C1708323,8,A1,716
C1708323,9,A1,506
C1708323,10,A2,2903
C1708323,11,A2,1112
C1708323,12,A2,894
C1708323,13,A2,&nbsp;
C1708323,14,A2,383
C1708323,15,B1,2936
C1708323,16,B1,1114
C1708323,17,B1,893
C1708323,18,B1,669
C1708323,19,B1,&nbsp;
C1708323,20,B2,3065
C1708323,21,B2,2866
C1708323,22,B2,1451
C1708323,23,B2,1343
C1708323,24,B2,1227
C1708323,25,B2,961
C1708323,26,B2,824
C1708323,27,B2,665
C2053294,1,A',3263
C2053294,2,A',3024
C2053294,3,A',2914
C2053294,4,A',1638
C2053294,5,A',1452
C2053294,6,A',1344
C2053294,7,A',1058
C2053294,8,A'',1127
C2053294,9,A'',1061
C277101,1,A1g,2995
C277101,2,A1g,1002
C277101,3,A2u,2978
C277101,4,A2u,839
C277101,5,Eg,1083
C277101,6,Eg,912
C277101,7,Eu,1151
C277101,8,Eu,617
C277101,9,T1g,1130
C277101,10,T1u,2978
C277101,11,T1u,1230
C277101,12,T1u,853
C277101,13,T2g,2970
C277101,14,T2g,1182
C277101,15,T2g,821
C277101,16,T2g,665
C277101,17,T2u,1036
C277101,18,T2u,829
C2781853,1,A1,3158
C2781853,2,A1,2909
C2781853,3,A1,1653
C2781853,4,A1,1483
C2781853,5,A1,1110
C2781853,6,A1,905
C2781853,7,A2,996
C2781853,8,A2,820
C2781853,9,B1,2995
C2781853,10,B1,1088
C2781853,11,B1,569
C2781853,12,B2,3124
C2781853,13,B2,1043
C2781853,14,B2,1011
C2781853,15,B2,769
